Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
9,9,2015-11-15,NWE,@,NYG,W 27-26,QB,3,4,6,1,0,0,0,1,2,1,1,0,0,0,72,100.0%,0,0.0%,0,0.0%,18.26,23.3,19.3
10,10,2015-11-23,NWE,,BUF,W 20-13,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0%,0,0.0%,0,0.0%,13.08,14.1,14.1
11,11,2015-11-29,NWE,@,DEN,L 24-30,QB,2,2,9,1,0,0,0,2,2,9,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,23.20,23.2,23.2
12,12,2015-12-06,NWE,,PHI,L 28-35,QB,4,6,41,3,1,1,1,1,3,4,1,1,1,1,89,100.0%,0,0.0%,0,0.0%,31.78,37.8,34.3
13,13,2015-12-13,NWE,@,HOU,W 27-6,QB,5,6,26,2,0,0,0,3,3,7,2,0,0,0,67,100.0%,0,0.0%,0,0.0%,18.04,18.0,18.0
14,14,2015-12-20,NWE,,TEN,W 33-16,QB,3,3,12,1,0,0,0,2,2,9,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,18.68,18.7,18.7
15,15,2015-12-27,NWE,@,NYJ,L 20-26,QB,1,2,9,1,0,0,0,1,1,9,1,0,0,0,56,100.0%,0,0.0%,0,0.0%,11.14,12.1,12.1
16,16,2016-01-03,NWE,@,MIA,L 10-20,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,93.3%,0,0.0%,0,0.0%,5.26,5.3,5.3
1,5,2016-10-09,NWE,@,CLE,W 33-13,QB,3,4,12,2,0,0,0,3,4,12,2,0,0,0,71,88.8%,0,0.0%,0,0.0%,29.64,32.6,29.6
2,6,2016-10-16,NWE,,CIN,W 35-17,QB,5,7,39,3,1,0,0,2,3,8,2,1,0,0,64,100.0%,0,0.0%,0,0.0%,27.24,30.2,27.2
3,7,2016-10-23,NWE,@,PIT,W 27-16,QB,1,1,19,1,0,0,0,0,0,0,0,0,0,0,57,100.0%,0,0.0%,0,0.0%,18.18,18.2,18.2
4,8,2016-10-30,NWE,@,BUF,W 41-25,QB,6,6,34,2,0,0,0,3,3,10,1,0,0,0,64,94.1%,0,0.0%,0,0.0%,30.10,33.1,30.1
5,9,2016-11-13,NWE,,SEA,L 24-31,QB,1,2,14,0,3,3,0,0,1,0,0,3,3,0,66,100.0%,0,0.0%,0,0.0%,11.34,15.3,12.3
6,10,2016-11-20,NWE,@,SFO,W 30-17,QB,5,7,21,3,2,6,0,3,3,18,3,1,-1,0,77,100.0%,0,0.0%,0,0.0%,28.40,28.4,28.4
7,11,2016-11-27,NWE,@,NYJ,W 22-17,QB,2,6,11,2,3,-4,0,2,4,11,2,3,-4,0,73,100.0%,0,0.0%,0,0.0%,19.04,19.0,19.0
8,12,2016-12-04,NWE,,LAR,W 26-10,QB,3,4,20,1,1,3,0,0,1,0,0,0,0,0,79,100.0%,0,0.0%,0,0.0%,14.86,14.9,14.9
9,13,2016-12-12,NWE,,BAL,W 30-23,QB,6,9,38,2,0,0,0,3,5,10,1,0,0,0,69,100.0%,0,0.0%,0,0.0%,26.14,30.1,27.1
10,14,2016-12-18,NWE,@,DEN,W 16-3,QB,2,3,27,0,0,0,0,0,1,0,0,0,0,0,75,100.0%,0,0.0%,0,0.0%,7.42,7.4,7.4
11,15,2016-12-24,NWE,,NYJ,W 41-3,QB,4,7,28,2,0,0,0,2,4,5,1,0,0,0,59,79.7%,0,0.0%,0,0.0%,20.56,20.6,20.6
12,16,2017-01-01,NWE,@,MIA,W 35-14,QB,5,6,24,2,0,0,0,2,3,2,1,0,0,0,64,95.5%,0,0.0%,0,0.0%,25.64,25.6,25.6
1,1,2017-09-07,NWE,,KAN,L 27-42,QB,1,4,5,0,1,1,0,0,1,0,0,1,1,0,81,100.0%,0,0.0%,0,0.0%,10.68,10.7,10.7
2,2,2017-09-17,NWE,@,NOR,W 36-20,QB,5,8,46,2,1,7,0,0,0,0,0,0,0,0,76,100.0%,0,0.0%,0,0.0%,30.78,33.8,30.8
3,3,2017-09-24,NWE,,HOU,W 36-33,QB,2,4,12,2,0,0,0,2,4,12,2,0,0,0,64,100.0%,0,0.0%,0,0.0%,35.72,39.7,35.7
4,4,2017-10-01,NWE,,CAR,L 30-33,QB,5,9,20,2,0,0,0,2,4,3,2,0,0,0,70,100.0%,0,0.0%,0,0.0%,20.48,23.5,20.5
5,5,2017-10-05,NWE,@,TAM,W 19-14,QB,4,5,24,1,1,1,0,2,3,7,1,1,1,0,74,100.0%,0,0.0%,0,0.0%,12.62,17.6,13.6
6,6,2017-10-15,NWE,@,NYJ,W 24-17,QB,2,4,7,1,0,0,0,1,2,2,1,0,0,0,68,100.0%,0,0.0%,0,0.0%,16.18,17.2,17.2
7,7,2017-10-22,NWE,,ATL,W 23-7,QB,3,4,14,2,3,-3,0,1,2,2,1,0,0,0,74,100.0%,0,0.0%,0,0.0%,18.46,18.5,18.5
8,8,2017-10-29,NWE,,LAC,W 21-13,QB,3,6,13,1,1,2,0,2,3,7,1,0,0,0,86,100.0%,0,0.0%,0,0.0%,17.52,20.5,17.5
9,9,2017-11-12,NWE,@,DEN,W 41-16,QB,5,9,43,3,0,0,0,1,3,6,1,0,0,0,61,87.1%,0,0.0%,0,0.0%,22.64,22.6,22.6
10,10,2017-11-19,NWE,@,OAK,W 33-8,QB,5,7,33,2,0,0,0,2,2,5,1,0,0,0,57,95.0%,0,0.0%,0,0.0%,25.60,28.6,25.6
11,11,2017-11-26,NWE,,MIA,W 35-17,QB,4,4,26,4,0,0,0,3,3,11,3,0,0,0,70,100.0%,0,0.0%,0,0.0%,20.68,22.7,21.7
12,12,2017-12-03,NWE,@,BUF,W 23-3,QB,0,1,0,0,0,0,0,0,1,0,0,0,0,0,68,97.1%,0,0.0%,0,0.0%,8.32,9.3,9.3
13,13,2017-12-11,NWE,@,MIA,L 20-27,QB,2,5,7,1,0,0,0,2,3,7,1,0,0,0,61,100.0%,0,0.0%,0,0.0%,9.32,11.3,11.3
14,14,2017-12-17,NWE,@,PIT,W 27-24,QB,2,5,14,1,0,0,0,1,2,4,1,0,0,0,59,100.0%,0,0.0%,0,0.0%,15.72,16.7,16.7
