Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
6,6,10/12/14,NWE,@,BUF,W 37-22,QB,2,2,19,2,0,0,0,1,1,1,1,0,0,0,30.74,33.7,30.7
7,7,10/16/14,NWE,,NYJ,W 27-25,QB,3,6,30,2,0,0,0,1,1,3,1,0,0,0,22.44,22.4,22.4
8,8,10/26/14,NWE,,CHI,W 51-23,QB,6,7,28,4,2,0,0,5,6,22,4,1,0,0,34.16,37.2,34.2
9,9,11/2/14,NWE,,DEN,W 43-21,QB,6,8,28,4,0,0,0,5,6,21,4,0,0,0,27.72,31.7,28.7
10,10,11/16/14,NWE,@,IND,W 42-20,QB,1,2,2,1,0,0,0,1,2,2,1,0,0,0,14.08,16.1,16.1
11,11,11/23/14,NWE,,DET,W 34-9,QB,2,5,12,2,0,0,0,2,5,12,2,0,0,0,19.96,24,21
12,12,11/30/14,NWE,@,GNB,L 21-26,QB,4,6,30,2,0,0,0,1,2,2,1,0,0,0,17.7,17.7,17.7
13,13,12/7/14,NWE,@,SDG,W 23-14,QB,3,9,25,1,1,4,0,0,3,0,0,0,0,0,19.38,23.4,20.4
14,14,12/14/14,NWE,,MIA,W 41-13,QB,1,3,6,1,0,0,0,1,2,6,1,0,0,0,19.28,20.3,20.3
15,15,12/21/14,NWE,@,NYJ,W 17-16,QB,2,3,6,1,4,7,0,1,2,3,1,2,-3,0,10.28,11.3,11.3
16,16,12/28/14,NWE,,BUF,L 9-17,QB,1,2,4,0,0,0,0,1,2,4,0,0,0,0,4.1,4.1,4.1
1,1,9/10/15,NWE,,PIT,W 28-21,QB,5,6,27,4,1,2,0,4,5,11,3,0,0,0,27.62,27.6,27.6
2,2,9/20/15,NWE,@,BUF,W 40-32,QB,6,9,36,2,0,0,0,2,5,10,2,0,0,0,28.24,32.2,28.2
3,3,9/27/15,NWE,,JAX,W 51-17,QB,5,9,47,2,0,0,0,2,6,9,1,0,0,0,22.72,25.7,22.7
4,4,10/11/15,NWE,@,DAL,W 30-6,QB,1,1,10,1,1,1,1,1,1,10,1,1,1,1,25.3,25.3,25.3
5,5,10/18/15,NWE,@,IND,W 34-27,QB,3,4,25,2,0,0,0,0,0,0,0,0,0,0,22.48,26.5,23.5
6,6,10/25/15,NWE,,NYJ,W 30-23,QB,6,14,42,2,3,14,1,2,6,8,1,2,3,1,29.7,32.7,29.7
7,7,10/29/15,NWE,,MIA,W 36-7,QB,4,6,47,3,0,0,0,1,2,10,1,0,0,0,30.34,33.3,30.3
8,8,11/8/15,NWE,,WAS,W 27-10,QB,5,9,51,2,0,0,0,1,2,8,1,0,0,0,17.86,18.9,18.9
9,9,11/15/15,NWE,@,NYG,W 27-26,QB,3,4,6,1,0,0,0,1,2,1,1,0,0,0,18.26,23.3,19.3
10,10,11/23/15,NWE,,BUF,W 20-13,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.08,14.1,14.1
11,11,11/29/15,NWE,@,DEN,L 24-30,QB,2,2,9,1,0,0,0,2,2,9,1,0,0,0,23.2,23.2,23.2
12,12,12/6/15,NWE,,PHI,L 28-35,QB,4,6,41,3,1,1,1,1,3,4,1,1,1,1,31.78,37.8,34.3
13,13,12/13/15,NWE,@,HOU,W 27-6,QB,5,6,26,2,0,0,0,3,3,7,2,0,0,0,18.04,18,18
14,14,12/20/15,NWE,,TEN,W 33-16,QB,3,3,12,1,0,0,0,2,2,9,1,0,0,0,18.68,18.7,18.7
15,15,12/27/15,NWE,@,NYJ,L 20-26,QB,1,2,9,1,0,0,0,1,1,9,1,0,0,0,11.14,12.1,12.1
