target,home,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed,fumbles_forced_moving_avg_1,fumbles_forced_moving_max_1,fumbles_forced_moving_min_1,fumbles_forced_moving_avg_3,fumbles_forced_moving_max_3,fumbles_forced_moving_min_3,fumbles_forced_moving_avg_5,fumbles_forced_moving_max_5,fumbles_forced_moving_min_5,interceptions_moving_avg_1,interceptions_moving_max_1,interceptions_moving_min_1,interceptions_moving_avg_3,interceptions_moving_max_3,interceptions_moving_min_3,interceptions_moving_avg_5,interceptions_moving_max_5,interceptions_moving_min_5,pass_yards_allowed_moving_avg_1,pass_yards_allowed_moving_max_1,pass_yards_allowed_moving_min_1,pass_yards_allowed_moving_avg_3,pass_yards_allowed_moving_max_3,pass_yards_allowed_moving_min_3,pass_yards_allowed_moving_avg_5,pass_yards_allowed_moving_max_5,pass_yards_allowed_moving_min_5,rush_yards_allowed_moving_avg_1,rush_yards_allowed_moving_max_1,rush_yards_allowed_moving_min_1,rush_yards_allowed_moving_avg_3,rush_yards_allowed_moving_max_3,rush_yards_allowed_moving_min_3,rush_yards_allowed_moving_avg_5,rush_yards_allowed_moving_max_5,rush_yards_allowed_moving_min_5,sacks_moving_avg_1,sacks_moving_max_1,sacks_moving_min_1,sacks_moving_avg_3,sacks_moving_max_3,sacks_moving_min_3,sacks_moving_avg_5,sacks_moving_max_5,sacks_moving_min_5,points_allowed_moving_avg_1,points_allowed_moving_max_1,points_allowed_moving_min_1,points_allowed_moving_avg_3,points_allowed_moving_max_3,points_allowed_moving_min_3,points_allowed_moving_avg_5,points_allowed_moving_max_5,points_allowed_moving_min_5,inclement,fantpt_moving_avg_1,fantpt_moving_max_1,fantpt_moving_min_1,fantpt_moving_avg_3,fantpt_moving_max_3,fantpt_moving_min_3,fantpt_moving_avg_5,fantpt_moving_max_5,fantpt_moving_min_5,spread
12.1,1,50.5,63.0,1.0,56.0,0,1,400,73,2,20,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.6,3.0,1.0,230.0,230.0,230.0,262.0,306.0,230.0,293.6,365.0,230.0,125.0,125.0,125.0,115.33333333333333,125.0,110.0,104.2,125.0,77.0,3.0,3.0,3.0,2.6666666666666665,5.0,0.0,3.0,5.0,0.0,3.0,3.0,3.0,14.333333333333334,24.0,3.0,16.8,25.0,3.0,False,11.5,11.5,11.5,14.833333333333343,17.7,11.5,19.279999999999998,32.0,11.5,3.5
25.3,0,43.5,39.0,2.0,,0,4,208,132,2,14,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.3333333333333333,2.0,1.0,1.2,2.0,0.0,314.0,314.0,314.0,250.33333333333334,314.0,181.0,239.6,314.0,168.0,110.0,110.0,110.0,75.66666666666667,110.0,42.0,96.4,163.0,42.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,1.6,5.0,0.0,23.0,23.0,23.0,15.666666666666666,23.0,7.0,20.8,34.0,7.0,False,12.100000000000001,12.1,12.1,12.966666666666677,15.3,11.5,17.72,32.0,11.5,-3.0
19.1,0,44.5,78.0,1.0,83.0,1,1,208,51,4,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,273.0,273.0,273.0,238.0,273.0,215.0,236.4,273.0,215.0,46.0,46.0,46.0,57.333333333333336,85.0,41.0,69.8,116.0,41.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,2.6,5.0,1.0,14.0,14.0,14.0,14.0,20.0,8.0,10.8,20.0,3.0,False,25.300000000000004,25.3,25.3,16.30000000000001,25.3,11.5,16.38,25.3,11.5,3.0
25.7,1,44.0,35.0,9.0,41.0,3,1,274,160,3,45,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.6,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,195.0,195.0,195.0,226.66666666666666,264.0,195.0,222.6,329.0,104.0,65.0,65.0,65.0,83.66666666666667,100.0,65.0,87.2,125.0,60.0,5.0,5.0,5.0,3.3333333333333335,5.0,2.0,2.2,5.0,0.0,10.0,10.0,10.0,17.666666666666668,24.0,10.0,21.4,37.0,10.0,False,19.100000000000005,19.1,19.1,18.833333333333343,25.3,12.1,16.66,25.3,11.5,-3.0
4.5,0,50.0,72.0,0.0,,1,0,293,105,2,20,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,148.0,148.0,148.0,265.0,400.0,148.0,275.0,400.0,148.0,58.0,58.0,58.0,90.33333333333333,110.0,58.0,84.0,110.0,58.0,3.0,3.0,3.0,2.6666666666666665,5.0,0.0,3.0,5.0,0.0,15.0,15.0,15.0,23.666666666666668,37.0,15.0,22.8,37.0,15.0,False,25.700000000000003,25.7,25.7,23.366666666666678,25.7,19.1,18.740000000000002,25.7,11.5,-2.5
11.6,0,42.0,68.0,9.0,57.0,1,4,317,150,2,17,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,221.0,221.0,221.0,222.0,313.0,132.0,220.8,313.0,132.0,161.0,161.0,161.0,132.33333333333334,162.0,74.0,166.8,290.0,74.0,2.0,2.0,2.0,2.3333333333333335,4.0,1.0,2.0,4.0,1.0,13.0,13.0,13.0,17.666666666666668,20.0,13.0,18.2,24.0,13.0,False,4.5000000000000036,4.5,4.5,16.433333333333348,25.7,4.5,17.34,25.7,4.5,-9.5
12.9,1,47.0,74.0,5.0,40.0,2,2,371,129,2,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.2,3.0,0.0,221.0,221.0,221.0,249.0,287.0,221.0,232.6,287.0,184.0,129.0,129.0,129.0,106.0,129.0,93.0,110.8,131.0,93.0,4.0,4.0,4.0,2.3333333333333335,4.0,1.0,1.6,4.0,0.0,13.0,13.0,13.0,23.333333333333332,34.0,13.0,19.8,34.0,13.0,False,11.600000000000001,11.6,11.6,13.933333333333346,25.7,4.5,17.240000000000002,25.7,4.5,-3.0
7.8,0,42.0,72.0,0.0,,3,0,217,113,5,6,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,316.0,316.0,316.0,230.33333333333334,316.0,153.0,214.2,316.0,153.0,90.0,90.0,90.0,127.66666666666667,178.0,90.0,133.6,178.0,90.0,4.0,4.0,4.0,3.6666666666666665,4.0,3.0,3.0,4.0,2.0,18.0,18.0,18.0,18.0,20.0,16.0,18.8,23.0,16.0,False,12.9,12.9,12.9,9.66666666666668,12.9,4.5,14.760000000000002,25.7,4.5,-3.0
14.0,1,46.5,63.0,8.0,59.0,0,0,241,191,2,19,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.4,3.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.4,3.0,0.0,288.0,288.0,288.0,279.3333333333333,307.0,243.0,259.6,307.0,196.0,60.0,60.0,60.0,94.0,143.0,60.0,115.8,150.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,4.0,2.0,7.0,7.0,7.0,21.666666666666668,34.0,7.0,20.4,34.0,7.0,True,7.799999999999999,7.8,7.8,10.76666666666668,12.9,7.8,12.500000000000002,25.7,4.5,-1.5
14.0,0,44.0,48.0,7.0,68.0,2,0,175,78,3,14,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,209.0,209.0,209.0,200.0,253.0,138.0,218.6,316.0,138.0,119.0,119.0,119.0,101.0,119.0,90.0,101.2,131.0,72.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,34.0,34.0,34.0,25.0,34.0,10.0,22.6,34.0,9.0,True,13.999999999999996,14.0,14.0,11.566666666666679,14.0,7.8,10.16,14.0,4.5,4.0
