target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
29.34,1.0,0.4054054054054057,0.09677419354838707,1.0,,0.0,0.66,0.3724518309828241,0.7277593573342134,0.030036989575665043,0.02477674639445539,0.2447054788647861,0.4675705123013755,0.3110898212958979,0.7301764092534292,0.06742462953500257,0.10798578802774936,0.9350133197436787,0.38258729644852807
22.76,0.0,0.0,0.08064516129032256,0.1875,0.7738095238095237,1.0,0.7000000000000001,0.6388339008935282,0.32961043919261795,0.07192222827017096,0.0264970280198112,0.4276460415628571,0.6137867206155514,0.3070167230339407,0.22500068688357025,0.06856638507123945,0.07188915383855632,0.3258434228101168,0.10999358836883433
14.52,1.0,0.3513513513513513,0.16129032258064513,0.5,,0.0,0.2400000000000001,0.4443436856187156,0.15518682413973264,0.15238155533671635,0.040516444756810224,0.7889908256880733,0.24955951906646667,0.5606694560669456,0.15895183958227807,0.1770520741394528,0.07369872871192135,0.4830126503297755,0.49576897780474294
18.9,0.0,0.45945945945945965,0.0,0.0625,0.6309523809523809,1.0,0.4600000000000001,0.21496071606092626,0.04870208526962925,0.0484510951366396,0.010803651075409305,0.7816300405376573,0.5416533911805579,0.41872628198890727,0.08114539217438019,0.004530744336569581,0.08110458143439676,0.7753296135119998,0.2670047005261924
15.96,1.0,0.3783783783783785,0.4032258064516129,0.3125,0.8928571428571428,1.0,0.5800000000000001,0.5320073099257346,0.10740670103638428,0.03298565353804332,0.00025770176877123324,0.5471600865890114,0.0,0.31773306379577826,0.08096271730204904,0.061093510475217175,0.12346073211988304,0.5442086458502505,0.4312888506306417
34.98,0.0,0.5405405405405408,0.9677419354838709,0.0625,0.6785714285714285,0.0,0.52,0.1787108362697808,0.05325678412222682,0.0026631721611454218,0.003333084860553528,0.5248139854077872,0.5005311151925371,0.6137943531117187,0.09040523419362231,0.10522619293534395,0.06879586345673575,0.7033783561157578,0.36727732903193366
29.22,1.0,0.8918918918918921,0.6612903225806451,0.75,,0.0,0.54,0.4513714524099153,0.03496197025381937,0.06169632896120025,0.050619990294348965,0.7896748100456484,0.3812154696132597,0.47085031499426977,0.0,0.062345463435077186,1.0000000000000002,0.29129088114455043,0.18833694288536734
23.98,0.0,0.945945945945946,0.9516129032258064,0.5,0.5238095238095237,0.0,0.52,0.17906894545769125,0.2905868244368914,0.1174562035191152,0.030456317979639075,0.4756467299287317,0.5630694057253834,0.5733295023973279,0.3687665866535918,0.09079611650485438,0.04468136141633027,0.3514369425653841,0.4419125715837977
16.94,0.0,1.0,0.7903225806451611,0.375,0.40476190476190477,0.0,0.56,0.22791670650335705,0.31159383769532295,0.05427398468839287,0.07221251737959064,0.2262996941896025,0.9616872825976056,0.4582264813065191,0.3440889783799763,0.06431166344814751,0.04219748052201879,0.3369919459811783,0.1096859070550728
15.14,1.0,0.7027027027027026,0.9999999999999999,0.5625,0.2857142857142857,0.0,0.52,0.22682364566264868,0.738743134331275,0.11628541047522972,0.023418136924052355,0.39272946547788257,0.5785827485092463,0.606193647239083,0.8010799284590205,0.06620125642490007,0.07575171576871417,0.3679757030116895,0.3336329074131016
17.26,1.0,0.945945945945946,0.6612903225806451,0.5,,0.0,0.54,0.1662417975723901,0.22200422283229,0.12234299187620248,0.026419133886072563,0.4602362005170053,0.6808503210109216,0.6957280565893804,0.3473824121824722,0.06902030008826127,0.09078915807148,0.5193944159593262,0.27209013309547153
15.92,0.0,0.810810810810811,0.29032258064516125,0.1875,0.75,0.0,0.7000000000000001,0.0,0.14172952036617772,0.08354097276398059,0.0310929455535289,0.5641197348155091,0.6161802955559258,0.48187398833338446,0.4184705446525692,0.06370081757792541,0.10633511900002668,0.4294396642914097,0.3787921845915109
16.18,1.0,0.756756756756757,0.5161290322580645,0.5625,,0.0,0.4600000000000001,0.11560789157927914,0.22414373355856715,0.12026610682444039,0.033660087194982036,0.45892601632859187,0.0590182543862392,0.4092357299143987,0.2863102227554962,0.06018634512997182,0.08459790819028139,0.16868869362794425,0.4235243493354138
25.36,0.0,0.5405405405405408,0.5806451612903225,0.0625,0.25,0.0,0.92,0.35908468157481566,0.7728760400781762,0.10045665727561245,0.02656715646174259,0.3526397784317119,0.6135449457829059,0.5832872819136339,0.8139546039395681,0.06441679201422126,0.05491867735886087,0.3499433269387997,0.31876470713073957
16.36,1.0,0.5405405405405408,0.12903225806451613,0.125,,0.0,0.14,0.5099193579013459,0.05506183200874772,0.03480021597642995,0.013006645876661196,0.44362815366972475,0.5606351529986415,0.6712375784518829,0.026115657245205197,0.08586216559249676,0.5722509680293323,0.4718587225538207,0.38345901945380023
29.24,0.0,0.7297297297297298,0.6612903225806451,0.0625,0.47619047619047616,0.0,0.68,0.17255127829763428,0.2325372079075339,0.056574965237069556,0.03649057045800633,0.875788925759646,0.347303664034166,0.6755096590403276,0.2963629508931036,0.08883495145631069,0.051139782774278,0.4924598451484441,0.2496326291308776
20.26,1.0,0.6216216216216219,0.5161290322580645,0.625,,0.0,0.0,0.0702386944439693,0.14752960574126056,0.08517414289159286,0.006459724337198863,0.2601717647589207,0.37816880824918775,0.5378470901483454,0.3078994418994547,0.0711385701676964,0.17541973049645115,0.2428929971747414,1.0
25.08,0.0,0.5405405405405408,0.29032258064516125,0.0,0.20238095238095238,0.0,0.52,0.18472333169688293,0.10643925633302687,0.06727935878116549,0.007768582446938569,0.4915024815761768,0.39609839369185884,0.37032718293435773,0.14585400845513502,0.10301999910518546,0.07339519212870138,0.3976619731437752,0.4464151818341552
27.0,0.0,0.5675675675675675,0.6612903225806451,0.1875,0.0,0.0,0.52,0.3332503332405723,0.24898483147084227,0.08424221645853383,0.019143559965862887,0.6376570740558598,0.5896236540916744,0.4800423823850146,0.24350063949681675,0.06763416666017862,0.02167487591260036,0.3767865164030788,0.33370642561076647
29.86,1.0,0.6756756756756759,0.16129032258064513,0.4375,,0.0,0.52,0.6599439779072243,0.1705671694770346,0.01781163000131015,0.037425325055640155,0.8303651735923727,0.22291740783867975,0.4683731233079007,0.09237119801930077,0.33451766164015706,0.06513885911109055,0.6863874765766274,0.5560488150044749
23.52,1.0,0.7027027027027026,0.5161290322580645,0.3125,,0.0,0.42000000000000004,0.4329587895323851,0.09143274820185693,0.07426694901133923,0.03040075553473117,0.30025020850708917,0.28453679928106257,0.240908264011775,0.07112065728329123,0.07404416186957644,0.12909751671139638,0.29306519454696783,0.13789264696555303
19.36,1.0,0.5135135135135136,0.09677419354838707,0.8125,0.34523809523809523,0.0,0.42000000000000004,0.4329587895323851,0.09143274820185693,0.07426694901133923,0.03040075553473117,0.30025020850708917,0.28453679928106257,0.240908264011775,0.07112065728329123,0.07404416186957644,0.12909751671139638,0.29306519454696783,0.13789264696555303
17.54,0.0,0.5945945945945947,0.8870967741935484,0.25,0.34523809523809523,0.0,0.56,0.09683907486585741,0.0,0.0,0.05597204326266057,0.6891613018999124,0.5162780056265465,0.7804114535912676,0.04040085616360271,0.08006613967142379,0.05027759000414315,0.7875538313414792,0.4279890872836154
14.54,1.0,0.5405405405405408,0.7903225806451611,0.125,0.4642857142857143,0.0,0.28,0.18750027662169633,0.13369357464056736,0.060997961180636974,0.048905145344553314,0.9346764471506507,0.7589212766621454,0.7660072126808997,0.25037047103790283,0.13857548716922155,0.1311126638647575,0.9333799858927344,0.25665435525577535
18.1,0.0,0.5945945945945947,0.7258064516129031,0.3125,0.2738095238095238,0.0,0.9400000000000001,0.38582457071660725,0.1401452622201708,0.06961278603239372,0.03242223472955123,0.38116763969974976,1.0,0.4515785469760367,0.11428228187911696,0.06736181077120353,0.1229691860363075,0.47414692216841553,0.31541562830516173
32.0,0.0,0.6216216216216219,0.6290322580645161,0.4375,0.6666666666666666,0.0,0.6400000000000001,0.22211958657253783,0.26520329535518344,0.04377986982889238,0.07703845505876226,0.6845606233300322,0.7331966240721283,0.4598803568841663,0.3934757083871035,0.0916430501737278,0.043957336554251526,0.5155395010740849,0.1287195949254166
18.72,1.0,0.7837837837837838,0.5161290322580645,0.25,0.5833333333333333,0.0,0.5800000000000001,0.24898459780691373,0.10433725086486972,0.06389944651961721,0.08070498941357104,0.6912321449309022,0.6124636505171168,0.5624172448493197,0.144160823640123,0.07305213347474913,0.030879535868696406,0.570328887840697,0.15663958166738953
19.8,0.0,0.29729729729729737,0.6612903225806451,0.5625,0.7619047619047619,1.0,0.66,0.1245279560099084,0.014932566081002276,0.06315957573952331,0.03698020381867167,0.7972860266438248,0.7023735751010709,0.4844149969672984,0.0691415884322178,0.08238834951456311,0.03946972793827007,0.5958731381968104,0.5250190354946074
18.36,1.0,0.5405405405405408,0.6451612903225806,0.3125,0.2738095238095238,0.0,0.4000000000000001,0.17586462314373896,0.3409364096162453,0.05848351828121166,0.029392709185036326,0.4430072218586023,0.6214991030104525,0.45222182309400827,0.5433403198028769,0.07050613934894347,0.13439059492537841,0.597989517562914,0.5684748841392954
28.46,0.0,0.48648648648648685,0.4354838709677419,0.5625,,1.0,0.54,0.08411606165423052,0.06221595864838989,0.11120367045496077,0.08496427316387489,0.6413626518184189,0.6358677455703141,0.6564796665132326,0.141545404859695,0.08000903138405961,0.05291576862942156,0.4826452061975708,0.38811374236393087
17.38,1.0,0.9189189189189193,0.6774193548387096,0.5,0.4642857142857143,0.0,0.28,0.3091124679113487,0.1423365621401448,0.15318978287937038,0.08408000993043452,0.8099173553719008,0.6840829746127512,0.6778934264670287,0.2258076077632842,0.06985913503971758,,0.41248317871048024,0.146963348931953
25.24,1.0,0.9729729729729732,0.32258064516129026,0.0625,0.5476190476190476,0.0,0.42000000000000004,0.18381649139214007,0.05954754616248783,0.07198411239530443,0.061879851550067574,0.5751429629324885,0.6255016336913257,0.6318742143084977,0.10341821029656609,0.08076301939847626,0.04038968946620662,0.5848653113442636,0.2622672280708297
31.42,0.0,0.6216216216216219,0.3870967741935484,0.125,0.6666666666666666,0.0,0.54,0.1342553607400695,0.2341109452406478,1.0,1.0,0.5191331759517112,0.6277770696024386,0.43427609905164677,0.4256334693865301,0.08513276406597264,0.0805470644624064,1.0,0.23877934418373872
11.42,0.0,0.7837837837837838,0.9032258064516129,0.8125,0.5952380952380952,0.0,0.4600000000000001,0.17061293340199057,0.058871947562163664,0.04967927077386996,0.022823413173347733,0.6605504587155963,0.3606207206180091,0.6119701655448428,0.10510836423134859,0.060747050840380006,0.1275587141788834,0.3654765371005087,0.417648823728428
28.44,1.0,0.756756756756757,0.596774193548387,0.4375,0.8928571428571428,0.0,0.6000000000000001,0.47611894398389654,0.2569838560123278,0.05457029801084835,0.021402930087769948,0.6602847772842375,0.548800023593971,0.7014710615498212,0.23631794253871505,0.0692795332569499,0.03765230579786212,0.5093554965587368,0.4193488148787565
24.82,1.0,0.5675675675675675,0.24193548387096775,0.3125,1.0,1.0,0.6200000000000001,1.0,0.12532778349906173,0.004222513795978211,0.012615115156991697,0.8960109483501444,0.6086935226926076,0.6979125731061746,0.0839658518330354,1.0,0.05039815066200292,0.975843549535804,0.27038611981686533
14.68,0.0,0.756756756756757,0.6129032258064516,0.0,,0.0,0.2400000000000001,0.1640670394445477,0.09135507487082609,0.02424443651251583,0.021054500180536152,0.3012421855971421,0.34497667131031906,0.6091013440959752,0.12748806737464102,0.0738737093769347,0.042862250508987225,0.4381878770746,0.335719118219619
